State_Name,Avg_Home_Insurance_2022
Alabama,1414.11
Alaska,1334.1
Arizona,1085.1
Arkansas,1273.6
California,1619.62
Colorado,1969.78
Connecticut,1812.01
Delaware,1108.33
District of Columbia,1474.06
Florida,2402.62
Georgia,1477.2
Hawaii,1607.58
Idaho,1096.12
Illinois,1247.31
Indiana,1175.18
Iowa,1222.26
Kansas,1672.35
Kentucky,1296.73
Louisiana,1961.25
Maine,1039.87
Maryland,1399.83
Massachusetts,1677.51
Michigan,1070.67
Minnesota,1628.41
Mississippi,1546.6
Missouri,1453.34
Montana,1564.53
Nebraska,1610.37
Nevada,1086.4
New Hampshire,1158.79
New Jersey,1452.49
New Mexico,1265.18
New York,1436.72
North Carolina,1287.99
North Dakota,1370.58
Ohio,1077.68
Oklahoma,1769.5
Oregon,1116.98
Pennsylvania,1040.46
Rhode Island,1700.54
South Carolina,1423.27
South Dakota,1431.51
Tennessee,1322.2
Texas,1973.46
Utah,1069.57
Vermont,1137.35
Virginia,1304.07
Washington,1347.44
West Virginia,895.3
Wisconsin,1078.29
Wyoming,1437.25
