NAME,B25077_001E,B19013_001E,B01003_001E,state,county
"Autauga County, Alabama",191800,68315,58761,01,001
"Baldwin County, Alabama",266000,71039,233420,01,003
"Barbour County, Alabama",102700,39712,24877,01,005
"Bibb County, Alabama",120100,50669,22251,01,007
"Blount County, Alabama",159800,57440,59077,01,009
"Bullock County, Alabama",87700,36136,10328,01,011
"Butler County, Alabama",94800,44429,18981,01,013
"Calhoun County, Alabama",140500,54339,116162,01,015
"Chambers County, Alabama",116900,48805,34612,01,017
"Cherokee County, Alabama",158700,46621,25069,01,019
"Chilton County, Alabama",136000,62471,45140,01,021
"Choctaw County, Alabama",101600,43299,12669,01,023
"Clarke County, Alabama",126200,47549,23058,01,025
"Clay County, Alabama",144100,48074,14209,01,027
"Cleburne County, Alabama",131900,51553,15144,01,029
"Coffee County, Alabama",162200,62199,53559,01,031
"Colbert County, Alabama",148500,56149,57270,01,033
"Conecuh County, Alabama",98800,39888,11576,01,035
"Coosa County, Alabama",109500,52279,10329,01,037
"Covington County, Alabama",124300,48772,37542,01,039
"Crenshaw County, Alabama",100400,48557,13205,01,041
"Cullman County, Alabama",166000,58119,88284,01,043
"Dale County, Alabama",123800,52813,49455,01,045
"Dallas County, Alabama",91600,37180,38326,01,047
"DeKalb County, Alabama",129000,47920,71680,01,049
"Elmore County, Alabama",200400,73258,87694,01,051
"Escambia County, Alabama",122000,41153,36755,01,053
"Etowah County, Alabama",148400,52177,103348,01,055
"Fayette County, Alabama",112700,45650,16297,01,057
"Franklin County, Alabama",121600,47359,32011,01,059
"Geneva County, Alabama",120700,47608,26647,01,061
"Greene County, Alabama",88800,32796,7706,01,063
"Hale County, Alabama",109400,35851,14742,01,065
"Henry County, Alabama",132400,58395,17282,01,067
"Houston County, Alabama",164900,55064,107040,01,069
"Jackson County, Alabama",126900,46748,52618,01,071
"Jefferson County, Alabama",208900,63595,672265,01,073
"Lamar County, Alabama",108200,49565,13885,01,075
"Lauderdale County, Alabama",174800,56081,94329,01,077
"Lawrence County, Alabama",134200,54786,33116,01,079
"Lee County, Alabama",224400,59288,175126,01,081
"Limestone County, Alabama",229400,80146,104199,01,083
"Lowndes County, Alabama",83400,33125,10153,01,085
"Macon County, Alabama",93900,41206,19198,01,087
"Madison County, Alabama",242900,78058,389781,01,089
"Marengo County, Alabama",98600,42975,19180,01,091
"Marion County, Alabama",104300,49743,29203,01,093
"Marshall County, Alabama",165600,58272,97923,01,095
"Mobile County, Alabama",164600,55352,413878,01,097
"Monroe County, Alabama",109300,39965,19816,01,099
"Montgomery County, Alabama",151300,56707,228132,01,101
"Morgan County, Alabama",174800,61588,123102,01,103
"Perry County, Alabama",81700,32332,8479,01,105
"Pickens County, Alabama",119800,45339,18925,01,107
"Pike County, Alabama",144500,42616,32997,01,109
"Randolph County, Alabama",155000,49879,22179,01,111
"Russell County, Alabama",141900,47420,58849,01,113
"St. Clair County, Alabama",202000,73218,91719,01,115
"Shelby County, Alabama",276500,90618,223916,01,117
"Sumter County, Alabama",88000,31726,12196,01,119
"Talladega County, Alabama",131900,52457,81105,01,121
"Tallapoosa County, Alabama",127100,53282,41251,01,123
"Tuscaloosa County, Alabama",218800,61645,231558,01,125
"Walker County, Alabama",124100,52987,64978,01,127
"Washington County, Alabama",138100,51184,15434,01,129
"Wilcox County, Alabama",83200,38208,10441,01,131
"Winston County, Alabama",111600,49494,23655,01,133
"Aleutians East Borough, Alaska",164100,79961,3407,02,013
"Aleutians West Census Area, Alaska",377100,100662,5219,02,016
"Anchorage Municipality, Alaska",363800,95731,290674,02,020
"Bethel Census Area, Alaska",120600,64094,18538,02,050
"Bristol Bay Borough, Alaska",253400,94167,854,02,060
"Chugach Census Area, Alaska",287900,83068,7000,02,063
"Copper River Census Area, Alaska",235100,70606,2614,02,066
"Denali Borough, Alaska",227000,87292,2101,02,068
"Dillingham Census Area, Alaska",167700,69412,4854,02,070
"Fairbanks North Star Borough, Alaska",276800,81655,96299,02,090
"Haines Borough, Alaska",289200,68276,2079,02,100
"Hoonah-Angoon Census Area, Alaska",243800,62344,2329,02,105
"Juneau City and Borough, Alaska",404600,95711,32108,02,110
"Kenai Peninsula Borough, Alaska",280900,76272,59235,02,122
"Ketchikan Gateway Borough, Alaska",361000,82763,13910,02,130
"Kodiak Island Borough, Alaska",355000,91138,13065,02,150
"Kusilvak Census Area, Alaska",82200,42663,8372,02,158
"Lake and Peninsula Borough, Alaska",167000,61607,999,02,164
"Matanuska-Susitna Borough, Alaska",296900,86435,108661,02,170
"Nome Census Area, Alaska",181300,70121,10018,02,180
"North Slope Borough, Alaska",193800,83472,10924,02,185
"Northwest Arctic Borough, Alaska",147200,77647,7682,02,188
"Petersburg Borough, Alaska",279800,77826,3374,02,195
"Prince of Wales-Hyder Census Area, Alaska",220800,61779,5799,02,198
"Sitka City and Borough, Alaska",424700,95261,8462,02,220
"Skagway Municipality, Alaska",434300,79583,1303,02,230
"Southeast Fairbanks Census Area, Alaska",222200,75378,6888,02,240
"Wrangell City and Borough, Alaska",273800,61000,2134,02,275
"Yakutat City and Borough, Alaska",152100,76875,564,02,282
"Yukon-Koyukuk Census Area, Alaska",86600,47826,5355,02,290
"Apache County, Arizona",62400,37483,66054,04,001
"Cochise County, Arizona",183000,58421,125504,04,003
"Coconino County, Arizona",379400,67266,144705,04,005
"Gila County, Arizona",222500,55242,53419,04,007
"Graham County, Arizona",178300,64089,38453,04,009
"Greenlee County, Arizona",93900,73756,9483,04,011
"La Paz County, Arizona",117500,46634,16681,04,012
"Maricopa County, Arizona",371400,80675,4430871,04,013
"Mohave County, Arizona",233700,53592,214229,04,015
"Navajo County, Arizona",165600,50335,107110,04,017
"Pima County, Arizona",258300,64323,1042393,04,019
"Pinal County, Arizona",268900,73313,433338,04,021
"Santa Cruz County, Arizona",196700,51885,47838,04,023
"Yavapai County, Arizona",354300,62430,237830,04,025
"Yuma County, Arizona",173500,56439,204374,04,027
"Arkansas County, Arkansas",125900,58695,17024,05,001
"Ashley County, Arkansas",86600,44804,19018,05,003
"Baxter County, Arkansas",155600,47403,41801,05,005
"Benton County, Arkansas",254000,85269,286528,05,007
"Boone County, Arkansas",158100,52275,37662,05,009
"Bradley County, Arkansas",87900,43688,10461,05,011
"Calhoun County, Arkansas",82700,60237,4773,05,013
"Carroll County, Arkansas",169700,56826,28362,05,015
"Chicot County, Arkansas",88100,36593,10234,05,017
"Clark County, Arkansas",143300,48071,21469,05,019
"Clay County, Arkansas",85800,44685,14537,05,021
"Cleburne County, Arkansas",162200,52780,24948,05,023
"Cleveland County, Arkansas",109200,48913,7548,05,025
"Columbia County, Arkansas",123200,47441,22707,05,027
"Conway County, Arkansas",129600,50282,20782,05,029
"Craighead County, Arkansas",182600,55169,111038,05,031
"Crawford County, Arkansas",154900,56702,60593,05,033
"Crittenden County, Arkansas",147300,51860,47945,05,035
"Cross County, Arkansas",97500,48129,16827,05,037
"Dallas County, Arkansas",94300,40085,6472,05,039
"Desha County, Arkansas",88300,38067,11285,05,041
"Drew County, Arkansas",123900,44968,17309,05,043
"Faulkner County, Arkansas",195800,61273,124611,05,045
"Franklin County, Arkansas",117500,47695,17160,05,047
"Fulton County, Arkansas",100000,38917,12183,05,049
"Garland County, Arkansas",166600,54229,100021,05,051
"Grant County, Arkansas",141400,68598,18022,05,053
"Greene County, Arkansas",157400,54879,45954,05,055
"Hempstead County, Arkansas",104700,45049,20037,05,057
"Hot Spring County, Arkansas",119600,50260,33129,05,059
"Howard County, Arkansas",125300,44824,12779,05,061
"Independence County, Arkansas",111300,52361,37910,05,063
"Izard County, Arkansas",110600,46159,13748,05,065
"Jackson County, Arkansas",85700,41929,16784,05,067
"Jefferson County, Arkansas",105300,46855,66934,05,069
"Johnson County, Arkansas",119800,42470,25925,05,071
"Lafayette County, Arkansas",70900,40262,6277,05,073
"Lawrence County, Arkansas",84300,43606,16258,05,075
"Lee County, Arkansas",80600,33801,8666,05,077
"Lincoln County, Arkansas",112500,50526,13016,05,079
"Little River County, Arkansas",108200,58627,12024,05,081
"Logan County, Arkansas",121600,51131,21247,05,083
"Lonoke County, Arkansas",169600,68078,74292,05,085
"Madison County, Arkansas",148300,51514,16737,05,087
"Marion County, Arkansas",147100,42891,16905,05,089
"Miller County, Arkansas",137700,47613,42682,05,091
"Mississippi County, Arkansas",110000,50012,40361,05,093
"Monroe County, Arkansas",84600,41786,6787,05,095
"Montgomery County, Arkansas",126200,47103,8555,05,097
"Nevada County, Arkansas",85100,43421,8292,05,099
"Newton County, Arkansas",160500,50699,7243,05,101
"Ouachita County, Arkansas",96000,47348,22606,05,103
"Perry County, Arkansas",123400,53980,10055,05,105
"Phillips County, Arkansas",74100,37458,16373,05,107
"Pike County, Arkansas",99200,49248,10205,05,109
"Poinsett County, Arkansas",93900,43440,22997,05,111
"Polk County, Arkansas",120800,48449,19384,05,113
"Pope County, Arkansas",152000,51678,63475,05,115
"Prairie County, Arkansas",87200,47045,8217,05,117
"Pulaski County, Arkansas",187600,58326,398322,05,119
"Randolph County, Arkansas",110700,45993,18619,05,121
"St. Francis County, Arkansas",82400,39822,23138,05,123
"Saline County, Arkansas",194400,73236,123988,05,125
"Scott County, Arkansas",97600,45340,9871,05,127
"Searcy County, Arkansas",107100,42063,7880,05,129
"Sebastian County, Arkansas",154900,54047,128184,05,131
"Sevier County, Arkansas",99200,53567,15913,05,133
"Sharp County, Arkansas",89900,43332,17422,05,135
"Stone County, Arkansas",153700,37664,12393,05,137
"Union County, Arkansas",110900,49745,38815,05,139
"Van Buren County, Arkansas",117900,45768,15900,05,141
"Washington County, Arkansas",235500,61985,247331,05,143
"White County, Arkansas",150700,51144,77118,05,145
"Woodruff County, Arkansas",96100,49608,6259,05,147
"Yell County, Arkansas",128400,55879,20342,05,149
"Alameda County, California",999200,122488,1663823,06,001
"Alpine County, California",463900,101125,1515,06,003
"Amador County, California",409600,74853,40577,06,005
"Butte County, California",371600,66085,213605,06,007
"Calaveras County, California",404200,77526,45674,06,009
"Colusa County, California",360100,69619,21811,06,011
"Contra Costa County, California",787300,120020,1162648,06,013
"Del Norte County, California",282500,61149,27462,06,015
"El Dorado County, California",597600,99246,191713,06,017
"Fresno County, California",338200,67756,1008280,06,019
"Glenn County, California",295400,64033,28657,06,021
"Humboldt County, California",386000,57881,136132,06,023
"Imperial County, California",256000,53847,179578,06,025
"Inyo County, California",325900,63417,18829,06,027
"Kern County, California",282800,63883,906883,06,029
"Kings County, California",281400,68540,152515,06,031
"Lake County, California",291300,56259,68024,06,033
"Lassen County, California",233100,59515,31873,06,035
"Los Angeles County, California",732200,83411,9936690,06,037
"Madera County, California",340300,73543,157243,06,039
"Marin County, California",1291800,142019,260485,06,041
"Mariposa County, California",335900,60021,17130,06,043
"Mendocino County, California",463700,61335,91145,06,045
"Merced County, California",342300,64772,282290,06,047
"Modoc County, California",184900,54962,8651,06,049
"Mono County, California",496800,82038,13219,06,051
"Monterey County, California",683700,91043,437609,06,053
"Napa County, California",794500,105809,137384,06,055
"Nevada County, California",559700,79395,102322,06,057
"Orange County, California",862900,109361,3175227,06,059
"Placer County, California",627100,109375,406608,06,061
"Plumas County, California",310100,67885,19650,06,063
"Riverside County, California",462900,84505,2429487,06,065
"Sacramento County, California",465900,84010,1579211,06,067
"San Benito County, California",703200,104451,64753,06,069
"San Bernardino County, California",438000,77423,2180563,06,071
"San Diego County, California",725200,96974,3289701,06,073
"San Francisco County, California",1348700,136689,851036,06,075
"San Joaquin County, California",462000,82837,779445,06,077
"San Luis Obispo County, California",726700,90158,281712,06,079
"San Mateo County, California",1441300,149907,754250,06,081
